Module                  Size  Used by
snd_seq_dummy          12288  0
rfcomm                102400  6
snd_hrtimer            12288  1
snd_seq               135168  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
ccm                    20480  3
qrtr                   57344  2
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   36864  2
joydev                 28672  0
mousedev               24576  0
snd_acp_legacy_mach    28672  0
amd_atl                57344  1
intel_rapl_msr         20480  0
snd_acp_mach           53248  1 snd_acp_legacy_mach
vfat                   24576  1
snd_soc_nau8821        65536  1 snd_acp_mach
intel_rapl_common      53248  1 intel_rapl_msr
squashfs               94208  8
fat                   106496  1 vfat
snd_soc_dmic           12288  1
snd_acp3x_rn           12288  4
snd_acp3x_pdm_dma      16384  1
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
hid_sensor_accel_3d    20480  0
hid_sensor_magn_3d     20480  0
hid_sensor_gyro_3d     16384  0
snd_soc_acpi_amd_match     8192  1 snd_sof_amd_acp63
hid_sensor_trigger     20480  6 hid_sensor_gyro_3d,hid_sensor_accel_3d,hid_sensor_magn_3d
snd_sof_amd_vangogh    16384  0
industrialio_triggered_buffer    12288  1 hid_sensor_trigger
snd_sof_amd_rembrandt    16384  0
kfifo_buf              12288  1 industrialio_triggered_buffer
snd_sof_amd_renoir     16384  0
hid_sensor_iio_common    20480  4 hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_accel_3d,hid_sensor_magn_3d
snd_sof_amd_acp        69632  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
industrialio          143360  6 industrialio_triggered_buffer,hid_sensor_gyro_3d,hid_sensor_trigger,kfifo_buf,hid_sensor_accel_3d,hid_sensor_magn_3d
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
snd_sof               466944  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_ctl_led            28672  0
snd_pci_ps             28672  0
rtw89_8852ae           12288  0
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_codec_realtek   221184  1
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
kvm_amd               241664  0
rtw89_8852a           708608  1 rtw89_8852ae
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
soundwire_generic_allocation    12288  1 soundwire_amd
soundwire_bus         147456  2 soundwire_generic_allocation,soundwire_amd
rtw89_pci             114688  1 rtw89_8852ae
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     98304  1
kvm                  1384448  1 kvm_amd
snd_soc_core          450560  8 snd_soc_nau8821,snd_acp_mach,snd_acp3x_rn,snd_sof,snd_acp_legacy_mach,soundwire_amd,snd_soc_dmic,snd_acp3x_pdm_dma
snd_hda_intel          69632  10
rtw89_core           1048576  2 rtw89_pci,rtw89_8852a
snd_intel_dspcfg       40960  2 snd_hda_intel,snd_sof
snd_compress           28672  1 snd_soc_core
irqbypass              12288  1 kvm
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
ac97_bus               12288  1 snd_soc_core
crct10dif_pclmul       12288  1
snd_pcm_dmaengine      16384  1 snd_soc_core
crc32_pclmul           12288  0
snd_hda_codec         217088  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
polyval_clmulni        12288  0
snd_rpl_pci_acp6x      20480  0
polyval_generic        12288  1 polyval_clmulni
mac80211             1634304  2 rtw89_core,rtw89_pci
ghash_clmulni_intel    16384  0
snd_acp_pci            12288  0
uvcvideo              184320  0
